COUNTY,STATE,ZHVI_2020,ZHVI_2021,ZHVI_2023,WFIR_AFREQ_2020,WFIR_EXPT_2020,WFIR_RISKS_2020,WFIR_AFREQ_2021,WFIR_EXPT_2021,WFIR_RISKS_2021,WFIR_AFREQ_2023,WFIR_EXPT_2023,WFIR_RISKS_2023
Fresno County,CA,280983.7414001801,327311.6089700944,376257.4222830156,0.002944602146737,138207033493.0913,42.94594695965941,0.002944602146737,142132884079.57483,42.96852167834631,0.005098326099848,298098543705.6678,98.3455297486478
Westchester County,NY,596991.0959970673,654083.071656296,729055.744819679,3.0965379288e-05,9203590106.566353,2.244646321792468,3.0965379288e-05,9446692233.535776,2.293051363233967,0.000145431260776,70498925145.25443,57.683741648106896
Duval County,FL,204450.94339121567,238541.2694246338,300048.45883668883,0.00119181555959,184811037781.78555,20.90179359679782,0.00119181555959,189727128614.2591,21.54930666386701,0.001429999832318,626341487805.0656,93.15940184537064
Marion County,IN,152438.81343937988,179579.39915758683,215213.4795401452,7.964735738e-06,1541785389.02205,0.953366851100843,7.964735738e-06,1583018253.3489912,0.927931233588299,1.6422160876e-05,312976695069.2628,42.570792236716514
Pinellas County,FL,257766.62938045515,304603.4443063961,388514.8615449409,3.8956353632e-05,36695987157.36991,9.701816746806845,3.8956353632e-05,37670014996.079445,9.698782501383416,0.000107771323526,447829854633.5808,70.09226853324849
Fairfield County,CT,420239.2563705333,483798.2811945153,567867.1759911512,2.1626466819e-05,4880596427.1005535,1.321005796745209,2.1626466819e-05,5009384465.483473,1.343747995760302,5.302464112e-05,89877460440.37422,44.6706967865097
Bergen County,NJ,522394.940334897,573479.6491065278,637712.3682873636,9.0149006995e-05,858374204.5435526,1.653742927348839,9.0149006995e-05,880183518.0126489,1.651848252994978,1.7038570436e-05,143927675665.50302,33.21667196945594
Erie County,NY,181308.2073266577,208589.4346886703,244601.6048822922,2.7455007607e-05,20192717082.67484,3.186641127034233,2.7455007607e-05,20733028598.32411,3.119259614336249,9.999999747e-06,2903575243578.472,70.56951956729239
Gwinnett County,GA,261359.1518885473,311714.21489989565,394158.7696895741,4.4390943802e-05,14853020339.715082,2.763540539718989,4.4390943802e-05,15248652135.35021,2.759913930476729,1.2433561635e-05,1458605333968.4907,62.93350302258989
Milwaukee County,WI,174633.9108256406,200443.41880895407,234589.0064205546,1.298727504e-06,3813161325.52376,2.350820419210462,1.298727504e-06,3914356464.8223534,2.313529058950721,1.0533885591e-05,440962057906.80646,45.30703149856824
DuPage County,IL,304794.6935845596,329551.85155826045,365704.672689141,7.826711764e-06,8189630591.824685,1.217926888720135,7.826711764e-06,8407660645.464809,1.196409210369817,0.000132174181894,61706712166.22691,52.81578110085905
Shelby County,TN,151022.5094658622,178515.94831760626,212132.86046038847,0.000100206923523,2896372253.086602,3.175575276390668,0.000100206923523,2973336560.9783697,3.126755845774495,6.5427281776e-05,392252846860.3432,63.34712058542793
Pierce County,WA,394577.6348676193,476521.4128497897,520243.1075820692,0.00041658518161,2595342997.6950088,3.521942997551319,0.00041658518161,2666121994.366584,3.524447986625186,3.7644211294e-05,1036404573550.0426,69.74228444161629
Kern County,CA,240079.5006821041,279519.98658664816,330095.4502241277,0.005263696957843,229546286181.9448,46.16547806878516,0.005263696957843,235781692318.74863,46.172345029906126,0.007358987904528,370380379254.51447,99.6500159083678
Hartford County,CT,227969.53317146123,256208.4482904212,309022.6033472312,3.408537576e-05,30421697289.684776,3.771797958238659,3.408537576e-05,31229691723.23696,3.845986072660696,2.6273639352e-05,377338648484.6628,54.88386891504932
Denton County,TX,313970.71248274064,365304.56165779504,451985.18674125103,0.001374822043535,149583010630.83798,10.148237511505446,0.001374822043535,153597852188.37424,10.076631068143676,0.001863073434746,1198427489830.547,97.51829462297168
Macomb County,MI,183758.85556237784,209583.57163744545,237964.6965687025,7.49943775e-06,903876111.4005562,0.741654057293213,7.49943775e-06,928083044.7286266,0.727712050215483,9.999999747e-06,1415228704870.1462,62.8380528157811
San Francisco County,CA,1310165.2551288104,1351745.9193534525,1241488.7170852798,1.981752598e-06,4310794509.178003,2.602490358995405,1.981752598e-06,4425531232.941481,2.569649504350791,1.4774419466e-05,117895901203.53204,26.407890550429524
Hidalgo County,TX,122361.8885931648,140836.06870837286,176871.71808613895,0.001401859303442,104578507598.75308,18.90310732542132,0.001401859303442,107412057392.6706,18.84231229341868,0.000657508575732,418356826757.527,80.71905822462614
New Haven County,CT,235723.15517659928,273223.32825489755,329665.570567476,2.2445326587e-05,8911102655.521412,2.848539512273124,2.2445326587e-05,9146885089.596842,2.884972681571859,2.3387091727e-05,181717994210.0709,41.58447343302577
El Paso County,TX,145672.8901999852,165652.20539130244,207391.09596343,0.000351760085911,82082352610.4742,13.447162814913884,0.000351760085911,84289254295.47792,12.8670436002004,6.7445126924e-05,763942767525.7502,77.12376710149539
Middlesex County,NJ,378611.257427341,417918.542719291,479289.7096938061,0.000164769940699,24448597494.063072,4.806782663441528,0.000164769940699,25097134036.29526,4.791618120147811,0.000598925456501,159265497871.3081,82.27807826916958
